Knmp;Voorraad;Department;Location;Artikelnaam;Hpkode;Artikelcode;Hpkode;Status;;;;Knmp,Voorraad,Department,Location,Artikelnaam,Hpkode,Artikelcode,Hpkode,Status,,
90004517;1; APOTHEEK ; BALIREK 4 ; KLINIPLAST SILK ( KLINION) 9.1MX2.5CM ;175114;9005388;579173; A ;;;;90004517,1, APOTHEEK , BALIREK 4 , KLINIPLAST SILK ( KLINION) 9.1MX2.5CM ,175114,9005388,579173, A ,,
14977699;400; APOTHEEK ; BALIREK 1 ; KNOFLOOK CAPSULE ;177551;177551;1687964; A ;;;;14977699,400, APOTHEEK , BALIREK 1 , KNOFLOOK CAPSULE ,177551,177551,1687964, A ,,
90000032;9; APOTHEEK ; AMPULLENKAST ; KONAKION 10MG/ML INJ. 1ML ;35690;9005132;651192; A ;;;;90000032,9, APOTHEEK , AMPULLENKAST , KONAKION 10MG/ML INJ. 1ML ,35690,9005132,651192, A ,,
90001202;125; APOTHEEK ; BALIREK 3 ; KOWRU DRESI LAXANS (BALI) ;Bali;9001504;858765; A ;;;;90001202,125, APOTHEEK , BALIREK 3 , KOWRU DRESI LAXANS (BALI) ,Bali,9001504,858765, A ,,
90004166;30; APOTHEEK ; BALI ; KRUIDVAT PROTECTION FOR MEN ;Bali;9004914;618640; A ;;;;90004166,30, APOTHEEK , BALI , KRUIDVAT PROTECTION FOR MEN ,Bali,9004914,618640, A ,,
90000226;3; APOTHEEK ; AMPULLENKAST ; LABETALOL 5MG/ML INJ. 20ML ;135076;9000318;402605; A ;;;;90000226,3, APOTHEEK , AMPULLENKAST , LABETALOL 5MG/ML INJ. 20ML ,135076,9000318,402605, A ,,
14811391;90; APOTHEEK ; D T/M N ; LABETALOL HCL 100MG TABL. ;60233;33971;646733; A ;;;;14811391,90, APOTHEEK , D T/M N , LABETALOL HCL 100MG TABL. ,60233,33971,646733, A ,,
14277727;60; APOTHEEK ; D T/M N ; LABETALOL HCL 200MG TABL. ;60767;90072;1168932; A ;;;;14277727,60, APOTHEEK , D T/M N , LABETALOL HCL 200MG TABL. ,60767,90072,1168932, A ,,
13922998;700; APOTHEEK ; INWENDIGE DRANKEN ; LACTULOSE 50% STR. ;56585;56582;858765; A ;;;;13922998,700, APOTHEEK , INWENDIGE DRANKEN , LACTULOSE 50% STR. ,56585,56582,858765, A ,,
90000598;4080; APOTHEEK ; ANTIVIRAAL ; LAMIVUDINE 10MG/ML DRANK ;71009;9000868;1017349; A ;;;;90000598,4080, APOTHEEK , ANTIVIRAAL , LAMIVUDINE 10MG/ML DRANK ,71009,9000868,1017349, A ,,
90004185;3870; APOTHEEK ; ANTIVIRAAL ; LAMIVUDINE 150MG TABL. ;130121;9004935;1017330; A ;;;;90004185,3870, APOTHEEK , ANTIVIRAAL , LAMIVUDINE 150MG TABL. ,130121,9004935,1017330, A ,,
90004493;240; APOTHEEK ; ANTIVIRAAL ; LAMIVUDINE/TENOFOVIR/DOLUTEGRAVIR 300/300/50MG ;niet gevonden;9005357;1927051; A ;;;;90004493,240, APOTHEEK , ANTIVIRAAL , LAMIVUDINE/TENOFOVIR/DOLUTEGRAVIR 300/300/50MG ,niet gevonden,9005357,1927051, A ,,
90003446;9; APOTHEEK ; KOELKAST ; LATANOPROST 50MCG/ML OOGDR ;237785;9003975;1099213; A ;;;;90003446,9, APOTHEEK , KOELKAST , LATANOPROST 50MCG/ML OOGDR ,237785,9003975,1099213, A ,,
15638715;245; APOTHEEK ; D T/M N ; LEFLUNOMIDE 10MG TABL. ;94610;230538;2143038; A ;;;;15638715,245, APOTHEEK , D T/M N , LEFLUNOMIDE 10MG TABL. ,94610,230538,2143038, A ,,
14941252;9; APOTHEEK ; KOELKAST ; LEVEMIR FLEXPEN 100E/ML INJ. 3ML ;157730;157730;1659375; A ;;;;14941252,9, APOTHEEK , KOELKAST , LEVEMIR FLEXPEN 100E/ML INJ. 3ML ,157730,157730,1659375, A ,,
15639452;90; APOTHEEK ; D T/M N ; LEVOCETIRIZINE DIHCL 5MG TABL. ;230640;230640;2143712; A ;;;;15639452,90, APOTHEEK , D T/M N , LEVOCETIRIZINE DIHCL 5MG TABL. ,230640,230640,2143712, A ,,
90000057;1737; APOTHEEK ; D T/M N ; LEVOTHYROXINE 100MCG TABL. ;253665;9000129;1604406; A ;;;;90000057,1737, APOTHEEK , D T/M N , LEVOTHYROXINE 100MCG TABL. ,253665,9000129,1604406, A ,,
14891581;289; APOTHEEK ; D T/M N ; LEVOTHYROXINE 50MCG TABL. ;253661;149621;1604392; A ;;;;14891581,289, APOTHEEK , D T/M N , LEVOTHYROXINE 50MCG TABL. ,253661,149621,1604392, A ,,
90001247;858; APOTHEEK ; D T/M N ; LEVOTHYROXINE TABL. 0 025MG ;253658;9001550;1604406; A ;;;;90001247,858, APOTHEEK , D T/M N , LEVOTHYROXINE TABL. 0 025MG ,253658,9001550,1604406, A ,,
13721704;400; APOTHEEK ; MAGISTRAAL CREMES-ZALVEN ; LIDOCAINE VASELINE 3% CREME FNA ;46081;46081;663018; A ;;;;13721704,400, APOTHEEK , MAGISTRAAL CREMES-ZALVEN , LIDOCAINE VASELINE 3% CREME FNA ,46081,46081,663018, A ,,
13772260;58; APOTHEEK ; ORALE MIDDELEN ; LIDOCAINEHYDROCHLORIDE  20MG/ML ORALE GEL FNA ;34916;34916;255815; A ;;;;13772260,58, APOTHEEK , ORALE MIDDELEN , LIDOCAINEHYDROCHLORIDE  20MG/ML ORALE GEL FNA ,34916,34916,255815, A ,,
13734369;14; APOTHEEK ; AMPULLENKAST ; LIDOCAINI  20MG/ML INJ. 20ML ;28054;28054;641367; A ;;;;13734369,14, APOTHEEK , AMPULLENKAST , LIDOCAINI  20MG/ML INJ. 20ML ,28054,28054,641367, A ,,
90004557;120; APOTHEEK ; BALIREK 1 ; LINGZHI CAPS ;Bali;9005436;1625101; A ;;;;90004557,120, APOTHEEK , BALIREK 1 , LINGZHI CAPS ,Bali,9005436,1625101, A ,,
13843036;14000; APOTHEEK ; INFUUSVLOEISTOFFEN ; LIPOFUNDIN 10% INFVL 500ML (VETEMULSIE) ;niet gevonden;9004820;789852; A ;;;;13843036,14000, APOTHEEK , INFUUSVLOEISTOFFEN , LIPOFUNDIN 10% INFVL 500ML (VETEMULSIE) ,niet gevonden,9004820,789852, A ,,
14916096;100; APOTHEEK ; D T/M N ; LITHIUMCARB. 400MG RET. TABL. ;geen ret. Gevonden;9004617;890944; A ;;;;14916096,100, APOTHEEK , D T/M N , LITHIUMCARB. 400MG RET. TABL. ,geen ret. Gevonden,9004617,890944, A ,,
90000233;372; APOTHEEK ; WERKBANK + BALI ; LOSARTAN 50MG TABL. ;134446;9000325;856134; A ;;;;90000233,372, APOTHEEK , WERKBANK + BALI , LOSARTAN 50MG TABL. ,134446,9000325,856134, A ,,
90004566;26; APOTHEEK ; WERKBANK + BALI ; LOSARTAN KALIUM 50MG TABL. ;217977;9005445;856134; A ;;;;90004566,26, APOTHEEK , WERKBANK + BALI , LOSARTAN KALIUM 50MG TABL. ,217977,9005445,856134, A ,,
14964473;56; APOTHEEK ; D T/M N ; LYRICA CAPSULE 150MG ;176075;176075;1677543; A ;;;;14964473,56, APOTHEEK , D T/M N , LYRICA CAPSULE 150MG ,176075,176075,1677543, A ,,
90000296;2; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; MAAGSONDE CH16 80CM ;178761;9000396;1626132; A ;;;;90000296,2, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , MAAGSONDE CH16 80CM ,178761,9000396,1626132, A ,,
90004432;60; APOTHEEK ; INWENDIGE DRANKEN ; MACROGOL 13 7GR PDR V DRANK ;293725;9005248;1178156; A ;;;;90004432,60, APOTHEEK , INWENDIGE DRANKEN , MACROGOL 13 7GR PDR V DRANK ,293725,9005248,1178156, A ,,
14765462;90; APOTHEEK ; D T/M N ; MADOPAR 125MG TABL. ;9743;9743;576131; A ;;;;14765462,90, APOTHEEK , D T/M N , MADOPAR 125MG TABL. ,9743,9743,576131, A ,,
90000144;114; APOTHEEK ; D T/M N ; MADOPAR 250MG TABL. ;9745;9000225;576158; A ;;;;90000144,114, APOTHEEK , D T/M N , MADOPAR 250MG TABL. ,9745,9000225,576158, A ,,
13939874;81; APOTHEEK ; D T/M N ; MAGNESIUMHYDROXIDE 724MG KAUWTABL. ;57976;57976;868930; A ;;;;13939874,81, APOTHEEK , D T/M N , MAGNESIUMHYDROXIDE 724MG KAUWTABL. ,57976,57976,868930, A ,,
90004059;16; APOTHEEK ; AMPULLENKAST ; MAGNESIUMSULFAAT 500MG/ML INJ. 10ML ;niet gevonden;9004788;1038680; A ;;;;90004059,16, APOTHEEK , AMPULLENKAST , MAGNESIUMSULFAAT 500MG/ML INJ. 10ML ,niet gevonden,9004788,1038680, A ,,
90004606;9; APOTHEEK ; BALIREK 1 ; MAJOR CALC. ANTACID CHEW TABS. (FLAVOURS) ;Bali;9005536;18139; A ;;;;90004606,9, APOTHEEK , BALIREK 1 , MAJOR CALC. ANTACID CHEW TABS. (FLAVOURS) ,Bali,9005536,18139, A ,,
14847329;10; APOTHEEK ; A T/M C ; MALARONE TABLET FILMOMHULD ;93721;93721;1192612; A ;;;;14847329,10, APOTHEEK , A T/M C , MALARONE TABLET FILMOMHULD ,93721,93721,1192612, A ,,
90002643;2; APOTHEEK ; BALI ; MEDICINE SPOON WITH  CLEANING BRUSH ;niet gevonden;9002985;1806696; A ;;;;90002643,2, APOTHEEK , BALI , MEDICINE SPOON WITH  CLEANING BRUSH ,niet gevonden,9002985,1806696, A ,,
14563258;61; APOTHEEK ; AMPULLENKAST ; MEDROXYPROGESTERON 150MG/ML INJ 1ML ;142351;4538;25658; A ;;;;14563258,61, APOTHEEK , AMPULLENKAST , MEDROXYPROGESTERON 150MG/ML INJ 1ML ,142351,4538,25658, A ,,
14556995;500; APOTHEEK ; UITWENDIGE GENEESMIDDELEN ; MENTHOL 2% TALK ;271147;9004655;1412841; A ;;;;14556995,500, APOTHEEK , UITWENDIGE GENEESMIDDELEN , MENTHOL 2% TALK ,271147,9004655,1412841, A ,,
90003099;27600; APOTHEEK ; BALIREK 2 ; MENTHOLATED ICE 8 OZ. ;Bali;9003483;681784; A ;;;;90003099,27600, APOTHEEK , BALIREK 2 , MENTHOLATED ICE 8 OZ. ,Bali,9003483,681784, A ,,
90004640;11200; APOTHEEK ; BALIREK 2 ; MENTHOLATED ICE LOTION ;Bali;9005639;681784; A ;;;;90004640,11200, APOTHEEK , BALIREK 2 , MENTHOLATED ICE LOTION ,Bali,9005639,681784, A ,,
90000068;18; APOTHEEK ; D T/M N ; MERCAPTOPURINE 50MG TABL. ;59541;35969;14419; A ;;;;90000068,18, APOTHEEK , D T/M N , MERCAPTOPURINE 50MG TABL. ,59541,35969,14419, A ,,
90004118;90; APOTHEEK ; BALIREK 2 ; MERCUROCHROME SOLUTION 2% ;niet gevonden;9004861;43346; A ;;;;90004118,90, APOTHEEK , BALIREK 2 , MERCUROCHROME SOLUTION 2% ,niet gevonden,9004861,43346, A ,,
14747642;259; APOTHEEK ; D T/M N ; MESALAZINE 500MG TABL. ;50646;122728;1462946; A ;;;;14747642,259, APOTHEEK , D T/M N , MESALAZINE 500MG TABL. ,50646,122728,1462946, A ,,
14571056;396; APOTHEEK ; D T/M N ; METHOTREXAAT HCL 2 5MG TABL. ;116492;116492;1421778; A ;;;;14571056,396, APOTHEEK , D T/M N , METHOTREXAAT HCL 2 5MG TABL. ,116492,116492,1421778, A ,,
14129574;2382; APOTHEEK ; WERKBANK + BALI ; METHYLDOPA 250MG TABL. ;78135;78135;1089315; A ;;;;14129574,2382, APOTHEEK , WERKBANK + BALI , METHYLDOPA 250MG TABL. ,78135,78135,1089315, A ,,
14899574;504; APOTHEEK ; OPIATEN KAST ; METHYLFENIDAAT HCL 10MG TABL. ;153652;153652;1632221; A ;;;;14899574,504, APOTHEEK , OPIATEN KAST , METHYLFENIDAAT HCL 10MG TABL. ,153652,153652,1632221, A ,,
90000073;98; APOTHEEK ; AMPULLENKAST ; METOCLOPRAMIDE 5MG/ML INJ. 2ML ;134841;9005151;13560; A ;;;;90000073,98, APOTHEEK , AMPULLENKAST , METOCLOPRAMIDE 5MG/ML INJ. 2ML ,134841,9005151,13560, A ,,
14123762;73; APOTHEEK ; D T/M N ; METOCLOPRAMIDE HCL 10MG TABL. ;60680;10177;560308; A ;;;;14123762,73, APOTHEEK , D T/M N , METOCLOPRAMIDE HCL 10MG TABL. ,60680,10177,560308, A ,,
13847627;510; APOTHEEK ; D T/M N ; METOPROLOL TARTRAS 100MG TABL ;52813;52813;822779; A ;;;;13847627,510, APOTHEEK , D T/M N , METOPROLOL TARTRAS 100MG TABL ,52813,52813,822779, A ,,
13830163;800; APOTHEEK ; WERKBANK + BALI ; METRONIDAZOL 250MG TABL. ;52573;51633;811033; A ;;;;13830163,800, APOTHEEK , WERKBANK + BALI , METRONIDAZOL 250MG TABL. ,52573,51633,811033, A ,,
90000075;51; APOTHEEK ; VAGINALE MIDDELEN ; METRONIDAZOL 500MG OVULE ;60472;9000147;214078; A ;;;;90000075,51, APOTHEEK , VAGINALE MIDDELEN , METRONIDAZOL 500MG OVULE ,60472,9000147,214078, A ,,
90000076;34; APOTHEEK ; INFUUSVLOEISTOFFEN ; METRONIDAZOL 5MG/ML INFVL 100ML ;69375;9000148;1178016; A ;;;;90000076,34, APOTHEEK , INFUUSVLOEISTOFFEN , METRONIDAZOL 5MG/ML INFVL 100ML ,69375,9000148,1178016, A ,,
90000078;180; APOTHEEK ; UITWENDIGE GENEESMIDDELEN ; MICONAZOL 20MG/ML TINCTUUR ;niet gevonden;9000150;208469; A ;;;;90000078,180, APOTHEEK , UITWENDIGE GENEESMIDDELEN , MICONAZOL 20MG/ML TINCTUUR ,niet gevonden,9000150,208469, A ,,
90000077;546; APOTHEEK ; VAGINALE MIDDELEN ; MICONAZOLNITRAAT 2% VAG.CR ;60045;9004088;1027182; A ;;;;90000077,546, APOTHEEK , VAGINALE MIDDELEN , MICONAZOLNITRAAT 2% VAG.CR ,60045,9004088,1027182, A ,,
90004523;63; APOTHEEK ; ANTICONCEPTIE ; MICROGYNON (ETHINYLEST/LEVONORG 30/150MCG ;227173;9005396;95133; A ;;;;90004523,63, APOTHEEK , ANTICONCEPTIE , MICROGYNON (ETHINYLEST/LEVONORG 30/150MCG ,227173,9005396,95133, A ,,
12133221;9; APOTHEEK ; ANTICONCEPTIE ; MICROGYNON 50 DRAGEE ;291520;10227;223107; A ;;;;12133221,9, APOTHEEK , ANTICONCEPTIE , MICROGYNON 50 DRAGEE ,291520,10227,223107, A ,,
14255200;11; APOTHEEK ; ZETPILLEN ; MICROLAX KLYSMA 5ML ;130135;130135;54496; A ;;;;14255200,11, APOTHEEK , ZETPILLEN , MICROLAX KLYSMA 5ML ,130135,130135,54496, A ,,
15027910;14; APOTHEEK ; D T/M N ; MIMPARA TABLET FILMOMHULD 30MG ;182727;182727;1721739; A ;;;;15027910,14, APOTHEEK , D T/M N , MIMPARA TABLET FILMOMHULD 30MG ,182727,182727,1721739, A ,,
90004352;118; APOTHEEK ; OPIATEN KAST ; MISOPROSTOL 0 2MG TABL. ;28010;9005156;640948; A ;;;;90004352,118, APOTHEEK , OPIATEN KAST , MISOPROSTOL 0 2MG TABL. ,28010,9005156,640948, A ,,
90004437;147; APOTHEEK ; OPIATEN KAST ; MISOPROSTOL 25MCG CAPS. ;300166;9005260;640948; A ;;;;90004437,147, APOTHEEK , OPIATEN KAST , MISOPROSTOL 25MCG CAPS. ,300166,9005260,640948, A ,,
13532790;19; APOTHEEK ; KOELKAST ; MIXTARD 30/70 INJVLST 100IE/ML INJ. 10ML ;151891;22658;635979; A ;;;;13532790,19, APOTHEEK , KOELKAST , MIXTARD 30/70 INJVLST 100IE/ML INJ. 10ML ,151891,22658,635979, A ,,
14810603;120; APOTHEEK ; KOELKAST ; MIXTARD 30/70 PENFILL 100IE/ML INJ. 3ML ;151893;41285;709050; A ;;;;14810603,120, APOTHEEK , KOELKAST , MIXTARD 30/70 PENFILL 100IE/ML INJ. 3ML ,151893,41285,709050, A ,,
90002293;53; APOTHEEK ; BALIREK 4 ; MONDMASKER N 95 3M 8210 ;niet gevonden;9002608;594687; A ;;;;90002293,53, APOTHEEK , BALIREK 4 , MONDMASKER N 95 3M 8210 ,niet gevonden,9002608,594687, A ,,
90004366;65; APOTHEEK ; BALIREK 4 ; MONDMASKER+TIES VIAMED ;150087;9005170;594687; A ;;;;90004366,65, APOTHEEK , BALIREK 4 , MONDMASKER+TIES VIAMED ,150087,9005170,594687, A ,,
90000423;12; APOTHEEK ; OPIATEN KAST ; MORFINE 10MG ZETPIL ;61304;9000549;263028; A ;;;;90000423,12, APOTHEEK , OPIATEN KAST , MORFINE 10MG ZETPIL ,61304,9000549,263028, A ,,
14720345;149; APOTHEEK ; OPIATEN KAST ; MORFINE HCL 10MG RET.TABL ;73593;127272;1489860; A ;;;;14720345,149, APOTHEEK , OPIATEN KAST , MORFINE HCL 10MG RET.TABL ,73593,127272,1489860, A ,,
14065525;226; APOTHEEK ; OPIATEN KAST ; MORFINE HCL 10MG/ML INJ 1ML ;66790;72673;1043110; A ;;;;14065525,226, APOTHEEK , OPIATEN KAST , MORFINE HCL 10MG/ML INJ 1ML ,66790,72673,1043110, A ,,
90004380;234; APOTHEEK ; OPIATEN KAST ; MORFINE HCL 10MG/ML PF INJ. 1ML ;niet gevonden;9005185;1043110; A ;;;;90004380,234, APOTHEEK , OPIATEN KAST , MORFINE HCL 10MG/ML PF INJ. 1ML ,niet gevonden,9005185,1043110, A ,,
90004448;200; APOTHEEK ; OPIATEN KAST ; MORFINE HCL 2MG/ML DRANK ;159376;9005278;563757; A ;;;;90004448,200, APOTHEEK , OPIATEN KAST , MORFINE HCL 2MG/ML DRANK ,159376,9005278,563757, A ,,
14720353;495; APOTHEEK ; OPIATEN KAST ; MORFINE HCL 30MG 5H20 RET.TABL ;navragen;127273;1489879; A ;;;;14720353,495, APOTHEEK , OPIATEN KAST , MORFINE HCL 30MG 5H20 RET.TABL ,navragen,127273,1489879, A ,,
90000732;1600; APOTHEEK ; OPIATEN KAST ; MORFINE HCL 3H2O ;navragen;9001043;757802; A ;;;;90000732,1600, APOTHEEK , OPIATEN KAST , MORFINE HCL 3H2O ,navragen,9001043,757802, A ,,
90004005;587; APOTHEEK ; OPIATEN KAST ; MORFINESULF. 5H2O 10MG TABL ;navragen;9004720;1489860; A ;;;;90004005,587, APOTHEEK , OPIATEN KAST , MORFINESULF. 5H2O 10MG TABL ,navragen,9004720,1489860, A ,,
90004729;940; APOTHEEK ; BALIREK 1 ; MULTIVITAMINE EN MINERALEN THERA-M 1000ST ;Bali;9006721;1035118; A ;;;;90004729,940, APOTHEEK , BALIREK 1 , MULTIVITAMINE EN MINERALEN THERA-M 1000ST ,Bali,9006721,1035118, A ,,
90003793;2000; APOTHEEK ; BALIREK 1 ; MULTIVITAMINE JUVITON STROOP ;238727;9004452;837598; A ;;;;90003793,2000, APOTHEEK , BALIREK 1 , MULTIVITAMINE JUVITON STROOP ,238727,9004452,837598, A ,,
90000081;540; APOTHEEK ; INWENDIGE DRANKEN ; MULTIVITAMINE STROOP ;niet gevonden;9000153;837598; A ;;;;90000081,540, APOTHEEK , INWENDIGE DRANKEN , MULTIVITAMINE STROOP ,niet gevonden,9000153,837598, A ,,
13733702;11; APOTHEEK ; INFUUSVLOEISTOFFEN ; NACL 9MG/ML INFVL 100ML ;37099;37099;669288; A ;;;;13733702,11, APOTHEEK , INFUUSVLOEISTOFFEN , NACL 9MG/ML INFVL 100ML ,37099,37099,669288, A ,,
13733729;13; APOTHEEK ; INFUUSVLOEISTOFFEN ; NACL 9MG/ML INFVL 500ML ;46571;46571;762555; A ;;;;13733729,13, APOTHEEK , INFUUSVLOEISTOFFEN , NACL 9MG/ML INFVL 500ML ,46571,46571,762555, A ,,
13204939;3; APOTHEEK ; INFUUSVLOEISTOFFEN ; NAHCO 3 8 4% INFVL 100ML ;niet gevonden;27679;415413; A ;;;;13204939,3, APOTHEEK , INFUUSVLOEISTOFFEN , NAHCO 3 8 4% INFVL 100ML ,niet gevonden,27679,415413, A ,,
14016788;926; APOTHEEK ; WERKBANK + BALI ; NAPROXEN 250MG TABL. ;60596;68139;1017136; A ;;;;14016788,926, APOTHEEK , WERKBANK + BALI , NAPROXEN 250MG TABL. ,60596,68139,1017136, A ,,
14000415;640; APOTHEEK ; D T/M N ; NATRIUM BICARBONAAT 500MG TABL. ;74139;67095;1008137; A ;;;;14000415,640, APOTHEEK , D T/M N , NATRIUM BICARBONAAT 500MG TABL. ,74139,67095,1008137, A ,,
14247399;19; APOTHEEK ; D T/M N ; NATRIUM CHLORIDE 500MG CAPS. ;232736;87817;1151363; A ;;;;14247399,19, APOTHEEK , D T/M N , NATRIUM CHLORIDE 500MG CAPS. ,232736,87817,1151363, A ,,
90002101;540; APOTHEEK ; UITWENDIGE GENEESMIDDELEN ; NATRIUM HYPOCHLORIET 0 25% SMEERSEL ;31147;9003650;607754; A ;;;;90002101,540, APOTHEEK , UITWENDIGE GENEESMIDDELEN , NATRIUM HYPOCHLORIET 0 25% SMEERSEL ,31147,9003650,607754, A ,,
90003202;180; APOTHEEK ; OORDRUPPELS ; NATRIUMBICARBONAAT 5% OORDR. (OORWEEK DRUPPELS) ;niet gevonden;9003634;1456962; A ;;;;90003202,180, APOTHEEK , OORDRUPPELS , NATRIUMBICARBONAAT 5% OORDR. (OORWEEK DRUPPELS) ,niet gevonden,9003634,1456962, A ,,
90000977;1; APOTHEEK ; ANTIVIRAAL ; NELFINAVIR 250MG TABL. ;niet gevonden;9001280;595861; A ;;;;90000977,1, APOTHEEK , ANTIVIRAAL , NELFINAVIR 250MG TABL. ,niet gevonden,9001280,595861, A ,,
90000084;112.4; APOTHEEK ; CREMES-ZALVEN PATENT ; NEOMYCINE/BACITRACINE WONDZALF ;niet gevonden;9000158;264806; A ;;;;90000084,112.4, APOTHEEK , CREMES-ZALVEN PATENT , NEOMYCINE/BACITRACINE WONDZALF ,niet gevonden,9000158,264806, A ,,
15382729;3; APOTHEEK ; OOGDRUPPELS - EN ZALVEN ; NEVANAC 1MG/ML OOGDR.  5ML ;211568;211568;1952978; A ;;;;15382729,3, APOTHEEK , OOGDRUPPELS - EN ZALVEN , NEVANAC 1MG/ML OOGDR.  5ML ,211568,211568,1952978, A ,,
90000782;2640; APOTHEEK ; ANTIVIRAAL ; NEVIRAPINE 10MG/ML DRANK ;niet gevonden;9001091;1159933; A ;;;;90000782,2640, APOTHEEK , ANTIVIRAAL , NEVIRAPINE 10MG/ML DRANK ,niet gevonden,9001091,1159933, A ,,
90000525;1170; APOTHEEK ; ANTIVIRAAL ; NEVIRAPINE 200MG TABL. ;82518;9002049;1112899; A ;;;;90000525,1170, APOTHEEK , ANTIVIRAAL , NEVIRAPINE 200MG TABL. ,82518,9002049,1112899, A ,,
14040638;50; APOTHEEK ; D T/M N ; NIFEDIPINE 10MG CAPS. ;23735;70637;1030566; A ;;;;14040638,50, APOTHEEK , D T/M N , NIFEDIPINE 10MG CAPS. ,23735,70637,1030566, A ,,
13622684;15; APOTHEEK ; D T/M N ; NIFEDIPINE 30MG RET. TABL. ;152330;39132;692921; A ;;;;13622684,15, APOTHEEK , D T/M N , NIFEDIPINE 30MG RET. TABL. ,152330,39132,692921, A ,,
14009315;327; APOTHEEK ; D T/M N ; NITROFURANTOINE 50MG CAPS. ;67620;67620;1012371; A ;;;;14009315,327, APOTHEEK , D T/M N , NITROFURANTOINE 50MG CAPS. ,67620,67620,1012371, A ,,
90000931;3; APOTHEEK ; BALIREK 2 ; NIXODERM ;Bali;9001237;264172; A ;;;;90000931,3, APOTHEEK , BALIREK 2 , NIXODERM ,Bali,9001237,264172, A ,,
90001117;2; APOTHEEK ; BALIREK 2 ; NIXODERM2 ;Bali;9001420;264172; A ;;;;90001117,2, APOTHEEK , BALIREK 2 , NIXODERM2 ,Bali,9001420,264172, A ,,
90004685;2; APOTHEEK ; BALIREK 2 ; NONI REPAIR LOTION JOMI 130ML ;Bali;9006268;204161; A ;;;;90004685,2, APOTHEEK , BALIREK 2 , NONI REPAIR LOTION JOMI 130ML ,Bali,9006268,204161, A ,,
90004556;30; APOTHEEK ; BALIREK 1 ; NONIK (NONI) CAPS ;Bali;9005435;1625101; A ;;;;90004556,30, APOTHEEK , BALIREK 1 , NONIK (NONI) CAPS ,Bali,9005435,1625101, A ,,
90004456;15; APOTHEEK ; KOELKAST ; NOREPINEFRINE 1MG/ML INJ. 4ML ;niet gevonden;9005299;1099604; A ;;;;90004456,15, APOTHEEK , KOELKAST , NOREPINEFRINE 1MG/ML INJ. 4ML ,niet gevonden,9005299,1099604, A ,,
12380253;451; APOTHEEK ; D T/M N ; NORETHISTERON 5MG TABL. ;59523;9000716;13528; A ;;;;12380253,451, APOTHEEK , D T/M N , NORETHISTERON 5MG TABL. ,59523,9000716,13528, A ,,
13137107;520; APOTHEEK ; D T/M N ; NORIT 125MG TABL. ;11180;11180;226084; A ;;;;13137107,520, APOTHEEK , D T/M N , NORIT 125MG TABL. ,11180,11180,226084, A ,,
14230895;302; APOTHEEK ; MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE ; NOVOFINE NAALD 0 25X 6MM 31G ;258146;86693;1142895; A ;;;;14230895,302, APOTHEEK , MEDISCHE VERBRUIKSARTIKELEN INCLUSIEF BALIE , NOVOFINE NAALD 0 25X 6MM 31G ,258146,86693,1142895, A ,,
14752352;5; APOTHEEK ; KOELKAST ; NOVORAPID 100E/ML INJ. 3ML ;137169;137169;1524194; A ;;;;14752352,5, APOTHEEK , KOELKAST , NOVORAPID 100E/ML INJ. 3ML ,137169,137169,1524194, A ,,
14318512;200; APOTHEEK ; INWENDIGE DRANKEN ; NUROFEN 20MG/ML SUSP. VOOR KIND ;93738;93738;1192752; A ;;;;14318512,200, APOTHEEK , INWENDIGE DRANKEN , NUROFEN 20MG/ML SUSP. VOOR KIND ,93738,93738,1192752, A ,,
14123444;3; APOTHEEK ; KOELKAST ; OCTREOTIDE 0 05MG/ML INJ. 1ML ;226240;134561;621439; A ;;;;14123444,3, APOTHEEK , KOELKAST , OCTREOTIDE 0 05MG/ML INJ. 1ML ,226240,134561,621439, A ,,
14743965;357; APOTHEEK ; O T/M Z ; OMEPRAZOL 40MG CAPS. ;130330;130330;1509918; A ;;;;14743965,357, APOTHEEK , O T/M Z , OMEPRAZOL 40MG CAPS. ,130330,130330,1509918, A ,,
90003908;100; APOTHEEK ; KOELKAST ; ONDANSETRON 4MG/5ML STROOP ;71723;9004592;1037560; A ;;;;90003908,100, APOTHEEK , KOELKAST , ONDANSETRON 4MG/5ML STROOP ,71723,9004592,1037560, A ,,
90000101;90; APOTHEEK ; O T/M Z ; ORS POEDER 20 5G SACHET ;115747;9000181;1417762; A ;;;;90000101,90, APOTHEEK , O T/M Z , ORS POEDER 20 5G SACHET ,115747,9000181,1417762, A ,,
90003866;72; APOTHEEK ; O T/M Z ; OSELTAMIVIR 75MG TABL. ;144111;9004540;2027437; A ;;;;90003866,72, APOTHEEK , O T/M Z , OSELTAMIVIR 75MG TABL. ,144111,9004540,2027437, A ,,
13980025;18; APOTHEEK ; O T/M Z ; OXAZEPAM 10MG TABL. ;65847;65847;897329; A ;;;;13980025,18, APOTHEEK , O T/M Z , OXAZEPAM 10MG TABL. ,65847,65847,897329, A ,,
14148161;39; APOTHEEK ; O T/M Z ; OXYBUTYNINE HCL 5MG TABL ;176058;77905;1087444; A ;;;;14148161,39, APOTHEEK , O T/M Z , OXYBUTYNINE HCL 5MG TABL ,176058,77905,1087444, A ,,
